308,ITGB8,immunomodulators,TGFB_score_21050467,filtered out
309,MET,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
310,CPVL,immunomodulators,CSF1_response,filtered out
311,PDAP1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
312,NUDT1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
313,AIMP2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
314,SERPINE1,immunomodulators,TGFB_score_21050467,filtered out
315,DDX58,immunomodulators,Module3_IFN_score,filtered out
316,DVL1,immunomodulators,TGFB_score_21050467,filtered out
317,RASSF4,immunomodulators,CSF1_response,filtered out
318,ERLIN1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
319,BCCIP,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
320,MAP3K8,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
321,GLRX3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
322,CBX1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
323,PFN1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
324,CCL2,immunomodulators,CSF1_response,filtered out
325,SMURF2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
326,CTSC,immunomodulators,CSF1_response,filtered out
327,IL10RA,immunomodulators,CSF1_response,filtered out
328,SELPLG,immunomodulators,CSF1_response,filtered out
329,CORO1C,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
330,MAGOHB,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
331,SH2B3,immunomodulators,CSF1_response,filtered out
332,OAS3,immunomodulators,Module3_IFN_score,filtered out
333,OAS2,immunomodulators,Module3_IFN_score,filtered out
334,NUP107,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
335,KRR1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
336,TPI1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
337,GNPTAB,immunomodulators,CSF1_response,filtered out
338,MCM3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
339,GPLD1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
340,LAMA4,immunomodulators,TGFB_score_21050467,filtered out
341,LY86,immunomodulators,CSF1_response,filtered out
342,SPARC,immunomodulators,TGFB_score_21050467,filtered out
343,CDH6,immunomodulators,TGFB_score_21050467,filtered out
344,CPEB4,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
345,CD86,immunomodulators,CSF1_response,filtered out
346,UMPS,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
347,EIF4G1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
348,CYTIP,immunomodulators,CSF1_response,filtered out
349,ITGA4,immunomodulators,TGFB_score_21050467,filtered out
350,SNX17,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
351,IFIH1,immunomodulators,Module3_IFN_score,filtered out
352,FN1,immunomodulators,TGFB_score_21050467,filtered out
353,STAT1,IFNG,Module3_IFN_score,filtered out
354,IGFBP2,immunomodulators,TGFB_score_21050467,filtered out
355,IGFBP5,immunomodulators,TGFB_score_21050467,filtered out
356,ID2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
357,SDC1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
358,WIPF1,immunomodulators,CSF1_response,filtered out
359,PNO1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
360,PLEK,immunomodulators,CSF1_response,filtered out
361,RND3,immunomodulators,TGFB_score_21050467,filtered out
362,FARSB,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
363,MRPL37,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
364,WDR77,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
365,SRM,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
366,NID1,immunomodulators,TGFB_score_21050467,filtered out
367,CD48,immunomodulators,CSF1_response,filtered out
368,UAP1,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
369,ID3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
370,EBNA1BP2,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
371,F3,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
372,C1orf54,immunomodulators,CSF1_response,filtered out
373,LRMP,immunomodulators,CSF1_response,filtered out
374,TNFAIP3,immunomodulators,CSF1_response,filtered out
375,DCLRE1B,immunomodulators,CHANG_CORE_SERUM_RESPONSE_UP,filtered out
