IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
MYBL2,0.030456,0.4731301,0.5000001,790,,,,,,
RAB35,0.045515,0.4426901,0.5000001,790,,,,,,
ITGA6,0.359775,0.1953701,0.5000001,790,0.398906,0.1785701,0.333378856,1.00E-06,0.5000001,0.5000001
BCCIP,1.00E-06,0.5000001,0.5000001,790,,,,,,
SMS,0.248758,0.2551201,0.5000001,790,0.166311,0.3330001,0.393949661,0.046606,0.0280801,0.331622056
CORO1C,0.122398,0.3496301,0.5000001,790,0.176273,0.2940301,0.384564792,1.00E-06,0.5000001,0.5000001
KIF4A,0.35759,0.2035701,0.5000001,790,0.346938,0.2117401,0.35012738,0.004265,0.4090701,0.5000001
DOCK2,0.113965,0.3522201,0.5000001,790,0.133586,0.3314101,0.393949661,1.00E-06,0.5000001,0.5000001
KIF4B,0.226848,0.2924801,0.5000001,790,0.190658,0.3234101,0.390963123,0.015407,0.2459601,0.5000001
CXCL9,1.00E-06,0.5000001,0.5000001,790,,,,,,
SPRYD7,0.010925,0.4881501,0.5000001,790,,,,,,
ARF1,1.00E-06,0.5000001,0.5000001,790,,,,,,
FGD1,1.00E-06,0.5000001,0.5000001,790,,,,,,
NCF2,0.243654,0.2067001,0.5000001,790,0.237094,0.2116501,0.35012738,0.003548,0.4261301,0.5000001
SLAMF7,1.00E-06,0.5000001,0.5000001,790,,,,,,
ERLIN1,0.22973,0.2713601,0.5000001,790,0.166334,0.3260901,0.39192304,0.036119,0.0795491,0.5000001
TPM2,1.00E-06,0.5000001,0.5000001,790,,,,,,
OASL,0.094143,0.4231801,0.5000001,790,0.057368,0.4535301,0.463541802,0.005039,0.3664901,0.5000001
PSMC4,1.00E-06,0.5000001,0.5000001,790,,,,,,
CD74,1.00E-06,0.5000001,0.5000001,790,,,,,,
CMC2,0.086088,0.4172801,0.5000001,790,0.087788,0.4172501,0.443195175,0.001168,0.4808601,0.5000001
CENPO,0.255469,0.2509601,0.5000001,790,0.17931,0.3176801,0.390963123,0.026804,0.0941361,0.5000001
PFKP,1.00E-06,0.5000001,0.5000001,790,,,,,,
DDX58,0.026576,0.4697501,0.5000001,790,,,,,,
KIF11,0.191427,0.3306901,0.5000001,790,0.070018,0.4363901,0.452010327,0.029402,0.0703351,0.5000001
SAMSN1,1.00E-06,0.5000001,0.5000001,790,,,,,,
SPAG17,1.00E-06,0.5000001,0.5000001,790,,,,,,
APOC1,1.00E-06,0.5000001,0.5000001,790,,,,,,
PSMA6,0.253292,0.2052601,0.5000001,790,0.302834,0.1698001,0.322202649,1.00E-06,0.5000001,0.5000001
SMAD4,0.25861,0.2467301,0.5000001,790,0.250461,0.2528301,0.373816178,0.003595,0.4282801,0.5000001
