IP component,BRCA V(G)/Vp,BRCA Pval,BRCA fdr,BRCA n,BRCA nonhla V(G)/Vp,BRCA nonhla Pval,BRCA nonhla fdr,BRCA hla V(G)/Vp,BRCA hla Pval,BRCA hla fdr
HLA.DRB5,0.999999,2.20E-07,0.000161524,790,0.500372,0.1225201,0.285059328,0.449856,1.00E-07,5.17E-06
HLA.DQA2,0.999999,2.93E-06,0.001074981,790,0.195876,0.3186501,0.390963123,0.363426,1.00E-07,5.17E-06
HLA.DQB1,0.999999,3.99E-05,0.009696674,790,0.220903,0.3084401,0.38740599,0.338108,1.00E-07,5.17E-06
HLA.G,0.999999,5.29E-05,0.009696674,790,0.266094,0.2161201,0.354835483,0.385863,1.00E-07,5.17E-06
ERAP2,0.999999,8.31E-05,0.011689029,790,0.999999,7.51E-05,0.030975858,0.002015,0.4549101,0.5000001
HLA.DRB1,0.999999,9.57E-05,0.011689029,790,0.667582,0.0807651,0.242763662,0.212736,1.00E-07,5.17E-06
KRR1,0.999999,0.00011838,0.012396077,790,0.999999,0.00023955,0.030975858,0.05929,0.0051123,0.147937181
DCTN5,0.999999,0.00027835,0.025503819,790,0.999999,0.00017186,0.030975858,1.00E-06,0.5000001,0.5000001
FN1,0.999999,0.00048373,0.039397121,790,0.999999,0.00026761,0.030975858,1.00E-06,0.5000001,0.5000001
GNPTAB,0.847651,0.0005935,0.04350355,790,0.806194,0.00093394,0.0557452,0.050856,0.0187761,0.266348921
HLA.DQA1,0.999999,0.00080302,0.053510333,790,0.156784,0.3735201,0.414363167,0.238932,1.00E-07,5.17E-06
KIFAP3,0.952905,0.00091959,0.054008568,790,0.925172,0.0011455,0.0557452,0.03438,0.1483701,0.5000001
BTN3A2,0.999999,0.00095786,0.054008568,790,0.104367,0.3775701,0.414363167,0.178142,1.00E-07,5.17E-06
HLA.DQB2,0.999999,0.0011748,0.055543075,790,0.600165,0.0565321,0.225095552,0.176737,1.00E-07,5.17E-06
CX3CL1,0.820206,0.0012124,0.055543075,790,0.819057,0.0012225,0.0557452,0.016277,0.2809901,0.5000001
COL8A1,0.862299,0.001163,0.055543075,790,0.895967,0.00083706,0.0557452,1.00E-06,0.5000001,0.5000001
FCGR3A,0.991829,0.0014129,0.055823737,790,0.999999,0.0011287,0.0557452,1.00E-06,0.5000001,0.5000001
EPHA2,0.934958,0.0013654,0.055823737,790,0.957514,0.0012279,0.0557452,0.00951,0.3588601,0.5000001
IDE,0.999999,0.001447,0.055823737,790,0.999999,0.001441,0.0557452,0.012671,0.2964001,0.5000001
CANX,0.999999,0.0019814,0.070374664,790,0.999999,0.0015525,0.0557452,1.00E-06,0.5000001,0.5000001
ACTR10,0.918257,0.0020969,0.070374664,790,0.937282,0.0019671,0.060088719,0.014204,0.2996301,0.5000001
CLTC,0.999999,0.0021122,0.070374664,790,0.999999,0.0020765,0.060088719,0.010818,0.3040901,0.5000001
CHUK,0.915931,0.0024363,0.077643822,790,0.868071,0.0037831,0.097309739,0.056394,0.0172251,0.26584071
THBS2,0.999999,0.0026652,0.08139965,790,0.999999,0.0015913,0.0557452,1.00E-06,0.5000001,0.5000001
MFSD11,0.838621,0.0030896,0.090587072,790,0.944047,0.0016856,0.0557452,1.00E-06,0.5000001,0.5000001
VTA1,0.970789,0.0035057,0.098833773,790,0.941709,0.0048233,0.101508541,0.04903,0.0365871,0.388857916
NUP93,0.999999,0.0038222,0.103765652,790,0.999999,0.0030272,0.082446682,1.00E-06,0.5000001,0.5000001
ACTR1B,0.843552,0.0041057,0.103775107,790,0.851899,0.0041131,0.100229753,0.010858,0.3027701,0.5000001
TREX1,0.970067,0.0039906,0.103775107,790,0.947276,0.0043609,0.100954835,0.00708,0.3725201,0.5000001
HLA.C,0.999999,0.0042814,0.104608873,790,0.600916,0.0780401,0.242763662,0.13135,1.13E-07,5.23E-06
RELB,0.798676,0.0047203,0.111612255,790,0.760862,0.0069522,0.119328819,0.052442,0.0167251,0.26584071
Macrophages.M2,0.803603,0.0059842,0.132918771,789,0.783447,0.0065966,0.119328819,0.011955,0.3026801,0.5000001
TNFSF4,0.903944,0.0058281,0.132918771,790,0.930832,0.0052952,0.102153233,0.008716,0.3701001,0.5000001
TAPBP,0.856494,0.0061654,0.132918771,790,0.827513,0.0080319,0.12484795,0.033994,0.0803291,0.5000001
FBXO41,0.999999,0.0067655,0.137753097,790,0.999999,0.0051477,0.102153233,1.00E-06,0.5000001,0.5000001
LRRC17,0.999999,0.006639,0.137753097,790,0.999999,0.0069587,0.119328819,0.010851,0.3410101,0.5000001
PNO1,0.962235,0.0082617,0.154305662,790,0.965515,0.0092143,0.130544834,0.013516,0.2374901,0.5000001
IFIH1,0.954295,0.0084205,0.154305662,790,0.866315,0.0140031,0.14407634,0.036081,0.0618911,0.5000001
NCLN,0.714141,0.0082742,0.154305662,790,0.69571,0.0103251,0.132792258,0.03926,0.0578271,0.5000001
PSMD12,0.794015,0.0082881,0.154305662,790,0.89233,0.0048184,0.101508541,1.00E-06,0.5000001,0.5000001
SEC24D,0.612886,0.008675,0.155092073,790,0.591591,0.0108121,0.133138087,0.033586,0.0766491,0.5000001
VCAN,0.811659,0.0103881,0.173056302,790,0.857105,0.0080674,0.12484795,1.00E-06,0.5000001,0.5000001
LNPEP,0.79159,0.0099749,0.173056302,790,0.824704,0.008608,0.128564645,1.00E-06,0.5000001,0.5000001
DYNC1LI2,0.860832,0.0103671,0.173056302,790,0.8367,0.0126541,0.140179864,0.028041,0.1441501,0.5000001
ITGB8,0.909276,0.0112971,0.175845173,790,0.972897,0.0080895,0.12484795,1.00E-06,0.5000001,0.5000001
SEC13,0.913979,0.0114651,0.175845173,790,0.89576,0.0123611,0.140179864,0.00971,0.3525001,0.5000001
SNRPA,0.588492,0.0115151,0.175845173,790,0.586212,0.0120741,0.140179864,0.012812,0.2787601,0.5000001
MRPL37,0.999999,0.0110031,0.175845173,790,0.999999,0.0098684,0.130544834,1.00E-06,0.5000001,0.5000001
MARCKSL1,0.910484,0.0124521,0.178968418,790,0.960006,0.0096263,0.130544834,1.00E-06,0.5000001,0.5000001
STAT1,0.758686,0.0121121,0.178968418,790,0.721646,0.0154271,0.151973347,0.021896,0.1648601,0.5000001
FCGR1A,0.884151,0.0122581,0.178968418,790,0.870808,0.0131511,0.141603705,0.005148,0.3935501,0.5000001
RSAD2,0.83225,0.0128661,0.181362525,790,0.842886,0.0127161,0.140179864,0.00265,0.4389601,0.5000001
NUP107,0.918158,0.0136231,0.188410043,790,0.831927,0.0216961,0.172660547,0.03874,0.0716241,0.5000001
CD44,0.963726,0.0148651,0.201779969,790,0.999999,0.0093574,0.130544834,1.00E-06,0.5000001,0.5000001
CD163,0.584219,0.0167031,0.203703103,790,0.60998,0.0147541,0.148503224,1.00E-06,0.5000001,0.5000001
ADCY7,0.608771,0.0159961,0.203703103,790,0.666153,0.0109271,0.133138087,1.00E-06,0.5000001,0.5000001
JUNB,0.54264,0.0169521,0.203703103,790,0.540275,0.0183161,0.165221987,0.015676,0.2199501,0.5000001
CYBB,0.615303,0.0154781,0.203703103,790,0.615007,0.0159011,0.15337936,0.007666,0.3497501,0.5000001
FCGR1B,0.928739,0.0163541,0.203703103,790,0.898237,0.0187961,0.165221987,0.006961,0.3582801,0.5000001
RAB10,0.875688,0.0159871,0.203703103,790,0.836628,0.0213961,0.172660547,0.028063,0.1053301,0.5000001
RAB6A,0.819728,0.0168061,0.203703103,790,0.735291,0.0286831,0.194480801,0.059657,0.0127411,0.237928292
ALKBH7,0.598956,0.0179961,0.211012084,790,0.555505,0.0249361,0.187112489,0.048246,0.0293661,0.331622056
HACD2,0.774607,0.0181361,0.211012084,790,0.738863,0.0219101,0.172660547,0.021421,0.1979501,0.5000001
COL1A2,0.777847,0.0188891,0.216339223,790,0.835855,0.0135411,0.142489302,1.00E-06,0.5000001,0.5000001
HCK,0.771935,0.0194571,0.21941622,790,0.799079,0.0171391,0.158708066,1.00E-06,0.5000001,0.5000001
KIF2A,0.611483,0.0202001,0.220149004,790,0.58253,0.0250561,0.187112489,0.028683,0.1074601,0.5000001
IKBKG,0.852442,0.0204231,0.220149004,790,0.752056,0.0352051,0.20123409,0.042061,0.0369541,0.388857916
MMP11,0.706236,0.0201571,0.220149004,790,0.74198,0.0165111,0.156013047,1.00E-06,0.5000001,0.5000001
ALOX5AP,0.759927,0.0218451,0.223586379,790,0.678955,0.0338101,0.20123409,0.025061,0.0921431,0.5000001
C11orf24,0.843394,0.0215401,0.223586379,790,0.806553,0.0277641,0.194460691,0.025479,0.1276301,0.5000001
TNF,0.798097,0.0219621,0.223586379,790,0.799861,0.0218841,0.172660547,0.001874,0.4648001,0.5000001
SEC31A,0.785837,0.0218111,0.223586379,790,0.693516,0.0377111,0.204215463,0.061433,0.0105821,0.222705105
PSMD2,0.842228,0.0227821,0.228757251,790,0.86781,0.0189131,0.165221987,1.00E-06,0.5000001,0.5000001
PSMD7,0.822521,0.0245451,0.243129166,790,0.826049,0.0232821,0.179660205,1.00E-06,0.5000001,0.5000001
IFRD2,0.622604,0.0250471,0.244793657,790,0.604735,0.0275981,0.194460691,0.018052,0.2446301,0.5000001
TNFRSF14,0.698767,0.0255961,0.246867649,790,0.663142,0.0320391,0.20123409,0.038055,0.0992521,0.5000001
IFI44,0.808181,0.0264181,0.251486588,790,0.718704,0.0417891,0.211435628,0.022988,0.1129301,0.5000001
FCGR2B,0.559626,0.0268331,0.252162337,790,0.545691,0.0289831,0.194480801,0.009609,0.3286501,0.5000001
VSIG4,0.450527,0.0279751,0.259566434,790,0.461817,0.0267231,0.193324927,0.002199,0.4466901,0.5000001
BSG,0.528498,0.0289741,0.265475191,790,0.573254,0.0220021,0.172660547,1.00E-06,0.5000001,0.5000001
1-Mar,0.593294,0.0310981,0.273619301,790,0.661861,0.0207771,0.172660547,1.00E-06,0.5000001,0.5000001
CCT5,0.817494,0.0306811,0.273619301,790,0.853096,0.0261291,0.192028148,1.00E-06,0.5000001,0.5000001
NUDT1,0.565674,0.0311381,0.273619301,790,0.55004,0.0344681,0.20123409,0.016216,0.2417401,0.5000001
AP1G1,0.72526,0.0313561,0.273619301,790,0.6911,0.0380361,0.204215463,0.023155,0.1654301,0.5000001
CCL21,0.544299,0.0326611,0.276716663,790,0.532115,0.0352051,0.20123409,0.012732,0.2926101,0.5000001
SEC24A,0.545781,0.0332211,0.276716663,790,0.547277,0.0338111,0.20123409,0.009879,0.3440501,0.5000001
MICA,0.660227,0.0330441,0.276716663,790,0.223292,0.2563501,0.373816178,0.136337,1.01E-07,5.17E-06
SKIL,0.615829,0.0325981,0.276716663,790,0.616691,0.0330131,0.20123409,0.016254,0.3099501,0.5000001
BRIP1,0.683767,0.0337791,0.278203149,790,0.68331,0.0345011,0.20123409,0.007193,0.3809101,0.5000001
CD80,0.758653,0.0341861,0.278426792,790,0.812204,0.0281401,0.194460691,1.00E-06,0.5000001,0.5000001
RAC1,0.662527,0.0355031,0.28597552,790,0.671221,0.0378381,0.204215463,0.015573,0.2239501,0.5000001
VEGFB,0.866889,0.0373901,0.28955867,790,0.712663,0.0741911,0.237906208,0.074826,0.0076351,0.186055332
ITGAV,0.553133,0.0371281,0.28955867,790,0.536194,0.0418721,0.211435628,0.025288,0.1783201,0.5000001
USPL1,0.696156,0.0376541,0.28955867,790,0.679611,0.0447081,0.211435628,0.021376,0.1424401,0.5000001
DYNLL2,0.615274,0.0379231,0.28955867,790,0.564958,0.0465061,0.211435628,0.011133,0.2750401,0.5000001
FCGR2A,0.599621,0.0375631,0.28955867,790,0.633103,0.0333431,0.20123409,1.00E-06,0.5000001,0.5000001
CD68,0.625714,0.0404111,0.305374601,790,0.687694,0.0300341,0.198654119,1.00E-06,0.5000001,0.5000001
RHOB,0.539818,0.0413121,0.305407716,790,0.457612,0.0644831,0.233115475,0.061653,0.0136181,0.242506935
CDH1,0.629488,0.0408811,0.305407716,790,0.662774,0.0348951,0.20123409,1.00E-06,0.5000001,0.5000001
APC,0.547132,0.0420821,0.305407716,790,0.542335,0.0445781,0.211435628,0.017393,0.2494201,0.5000001
C3AR1,0.507485,0.0419351,0.305407716,790,0.524846,0.0383731,0.204215463,1.00E-06,0.5000001,0.5000001
CENPN,0.77534,0.0436251,0.310458236,790,0.700823,0.0590601,0.2259903,0.016844,0.2019601,0.5000001
LMNB2,0.550346,0.0433581,0.310458236,790,0.514485,0.0550341,0.225095552,0.027333,0.1030601,0.5000001
DCTN4,0.587805,0.0441841,0.311249088,790,0.546768,0.0561581,0.225095552,0.034655,0.0840061,0.5000001
ADAMTS1,0.393839,0.0449101,0.311249088,790,0.36997,0.0531791,0.223835666,0.023556,0.1324901,0.5000001
MNDA,0.4815,0.0450101,0.311249088,790,0.479142,0.0462841,0.211435628,0.00575,0.3779301,0.5000001
DDX60,0.533525,0.0454471,0.311333872,790,0.531991,0.0474931,0.211435628,0.009637,0.3224801,0.5000001
RNF41,0.648334,0.0477861,0.316957708,790,0.576965,0.0711671,0.237053002,0.049436,0.0285861,0.331622056
NUTF2,0.58527,0.0484301,0.316957708,790,0.609164,0.0447631,0.211435628,0.000238,0.4954601,0.5000001
PSMD13,0.520847,0.0478141,0.316957708,790,0.522477,0.0484651,0.212076276,0.006211,0.3863301,0.5000001
TNFRSF1A,0.736648,0.0477901,0.316957708,790,0.809311,0.0346901,0.20123409,1.00E-06,0.5000001,0.5000001
PSMD14,0.736101,0.0481551,0.316957708,790,0.71049,0.0581871,0.225095552,0.027497,0.1273601,0.5000001
EIF4G1,0.705472,0.0492241,0.319303233,790,0.754268,0.0376911,0.204215463,1.00E-06,0.5000001,0.5000001
ZYX,0.527055,0.0503961,0.320518725,790,0.519002,0.0537781,0.22431766,0.016689,0.2526401,0.5000001
IFI44L,0.634525,0.0519991,0.320518725,790,0.581068,0.0697201,0.237053002,0.019405,0.1451601,0.5000001
ID2,0.559744,0.0520291,0.320518725,790,0.476185,0.0739021,0.237906208,0.026873,0.1063701,0.5000001
TOMM40,0.495205,0.0515151,0.320518725,790,0.50916,0.0485531,0.212076276,1.00E-06,0.5000001,0.5000001
FPR3,0.504702,0.0520351,0.320518725,790,0.543019,0.0430981,0.211435628,1.00E-06,0.5000001,0.5000001
SMAD7,0.810882,0.0500861,0.320518725,790,0.757067,0.0638981,0.233115475,0.013856,0.2374501,0.5000001
CTNNB1,0.631339,0.0532321,0.325159411,790,0.675598,0.0426091,0.211435628,1.00E-06,0.5000001,0.5000001
LGMN,0.559785,0.0537601,0.325670688,790,0.612456,0.0422021,0.211435628,1.00E-06,0.5000001,0.5000001
RAB3B,0.404953,0.0542761,0.326101486,790,0.401341,0.0564251,0.225095552,0.00896,0.3227101,0.5000001
HLA.B,0.691425,0.0552421,0.326552091,790,0.4747,0.1374501,0.293375789,0.054435,0.0034394,0.106162813
DYNC1H1,0.589212,0.0551861,0.326552091,790,0.659851,0.0396911,0.20882931,1.00E-06,0.5000001,0.5000001
IGFBP2,0.488199,0.0651231,0.340296949,790,0.504965,0.0613271,0.232741371,1.00E-06,0.5000001,0.5000001
RAB7A,0.647109,0.0616461,0.340296949,790,0.703312,0.0504881,0.218467199,1.00E-06,0.5000001,0.5000001
SPARC,0.570849,0.0602831,0.340296949,790,0.607715,0.0511691,0.219363827,1.00E-06,0.5000001,0.5000001
GPLD1,0.509204,0.0584111,0.340296949,790,0.60631,0.0356471,0.201275699,1.00E-06,0.5000001,0.5000001
LSM4,0.463472,0.0670881,0.340296949,790,0.470845,0.0665831,0.234417596,0.005137,0.4024601,0.5000001
NEO1,0.724432,0.0664881,0.340296949,790,0.650534,0.0931421,0.256335156,0.052049,0.0474691,0.448534557
PAICS,0.569214,0.0671571,0.340296949,790,0.387007,0.1569101,0.309057579,0.067726,0.0010728,0.0413922
COL3A1,0.567316,0.0603731,0.340296949,790,0.62193,0.0468321,0.211435628,1.00E-06,0.5000001,0.5000001
PSMC6,0.50022,0.0654111,0.340296949,790,0.580067,0.0472731,0.211435628,1.00E-06,0.5000001,0.5000001
FCGR3B,0.442868,0.0657721,0.340296949,790,0.46785,0.0583401,0.225095552,1.00E-06,0.5000001,0.5000001
F3,0.538736,0.0701021,0.340296949,790,0.55119,0.0672601,0.234417596,1.00E-06,0.5000001,0.5000001
RAB5B,0.536926,0.0683831,0.340296949,790,0.53736,0.0700301,0.237053002,0.014228,0.3154001,0.5000001
RACGAP1,0.550923,0.0656241,0.340296949,790,0.463078,0.0977151,0.257057337,0.034514,0.0570661,0.5000001
LILRB4,0.570038,0.0653971,0.340296949,790,0.572877,0.0656571,0.233840287,0.003012,0.4315401,0.5000001
PLOD2,0.482961,0.0669731,0.340296949,790,0.484072,0.0697611,0.237053002,0.015364,0.2709801,0.5000001
EZR,0.886761,0.0678331,0.340296949,790,0.989946,0.0459531,0.211435628,1.00E-06,0.5000001,0.5000001
DYNC1I1,0.616049,0.0674231,0.340296949,790,0.551779,0.0878901,0.24965102,0.026056,0.1333801,0.5000001
FPR1,0.597441,0.0625761,0.340296949,790,0.629873,0.0577711,0.225095552,0.00182,0.4576301,0.5000001
MRPL12,0.610368,0.0669411,0.340296949,790,0.565025,0.0816511,0.242763662,0.031093,0.1277001,0.5000001
PSMD11,0.429948,0.0595991,0.340296949,790,0.481767,0.0451271,0.211435628,1.00E-06,0.5000001,0.5000001
TRAF6,0.429202,0.0637571,0.340296949,790,0.465341,0.0525711,0.223306599,1.00E-06,0.5000001,0.5000001
IFNGR1,0.727046,0.0604131,0.340296949,790,0.674235,0.0750201,0.237906208,0.022686,0.2019301,0.5000001
DYNC1I2,0.568459,0.0698061,0.340296949,790,0.532545,0.0848261,0.245465527,0.036573,0.0899791,0.5000001
TAB1,0.466678,0.0700281,0.340296949,790,0.443558,0.0808021,0.242763662,0.032124,0.1154001,0.5000001
FARSA,0.640691,0.0693961,0.340296949,790,0.49101,0.1309501,0.28734548,0.049093,0.0163451,0.26584071
SELP,0.483742,0.0662041,0.340296949,790,0.482765,0.0673381,0.234417596,0.00607,0.3952401,0.5000001
IL1B,0.494211,0.0661171,0.340296949,790,0.48474,0.0706681,0.237053002,0.015583,0.2732101,0.5000001
HERC5,0.626329,0.0718571,0.341554828,790,0.632532,0.0748821,0.237906208,0.003931,0.3887601,0.5000001
SMO,0.45674,0.0722251,0.341554828,790,0.519025,0.0543561,0.224704235,1.00E-06,0.5000001,0.5000001
SEC23A,0.461399,0.0719861,0.341554828,790,0.488525,0.0628791,0.233115475,1.00E-06,0.5000001,0.5000001
TIMP1,0.497918,0.0720441,0.341554828,790,0.435853,0.0974381,0.257057337,0.065614,0.0210631,0.278634723
OAS3,0.591383,0.0750501,0.352639252,790,0.528555,0.0959641,0.257057337,0.018195,0.1788001,0.5000001
MT1F,0.402356,0.0756041,0.352979652,790,0.4361,0.0643831,0.233115475,1.00E-06,0.5000001,0.5000001
CD84,0.377502,0.0764851,0.354832774,790,0.411452,0.0642181,0.233115475,1.00E-06,0.5000001,0.5000001
PDIA4,0.654284,0.0773531,0.356508752,790,0.654907,0.0799231,0.242763662,0.010819,0.3447601,0.5000001
TAP2,0.586189,0.0778191,0.356508752,790,0.497195,0.1079201,0.264153928,0.026062,0.1210501,0.5000001
KIF3A,0.559964,0.0788061,0.35759586,790,0.643028,0.0572271,0.225095552,1.00E-06,0.5000001,0.5000001
MMP17,0.606751,0.0790321,0.35759586,790,0.605039,0.0782771,0.242763662,1.00E-06,0.5000001,0.5000001
CTNNA1,0.473129,0.0798881,0.359251394,790,0.523826,0.0629011,0.233115475,1.00E-06,0.5000001,0.5000001
PSMB3,0.441998,0.0807171,0.360652884,790,0.449247,0.0800301,0.242763662,0.004702,0.4057201,0.5000001
MAP3K7,0.444734,0.0875801,0.360652884,790,0.423961,0.0960021,0.257057337,0.021745,0.2271601,0.5000001
CSF1R,0.39455,0.0858541,0.360652884,790,0.379869,0.0957591,0.257057337,0.012216,0.2365001,0.5000001
DVL1,0.389768,0.0817541,0.360652884,790,0.354826,0.1010701,0.259075615,0.040099,0.0589121,0.5000001
AP1M1,0.579249,0.0821741,0.360652884,790,0.505937,0.1150001,0.273051519,0.042832,0.0460391,0.444085485
SLC11A1,0.568089,0.0856051,0.360652884,790,0.56825,0.0833891,0.24436173,1.00E-06,0.5000001,0.5000001
COQ2,0.47116,0.0873511,0.360652884,790,0.46565,0.0921881,0.255587367,0.008715,0.3240101,0.5000001
RILP,0.462873,0.0813441,0.360652884,790,0.455497,0.0861091,0.247630517,0.019587,0.2454201,0.5000001
PSMC2,0.57942,0.0865051,0.360652884,790,0.608286,0.0805671,0.242763662,0.000165,0.4966801,0.5000001
CALR,0.605774,0.0867781,0.360652884,790,0.507602,0.1280001,0.285813684,0.027463,0.0948581,0.5000001
IFIT1,0.471587,0.0835601,0.360652884,790,0.43343,0.1012801,0.259075615,0.013924,0.2017201,0.5000001
PGM2,0.517962,0.0847251,0.360652884,790,0.509939,0.0867111,0.247822465,0.002063,0.4554901,0.5000001
ATG5,0.550235,0.0831341,0.360652884,790,0.513086,0.1008801,0.259075615,0.026681,0.1279201,0.5000001
T.cells.follicular.helper,0.430154,0.0858371,0.360652884,789,0.356417,0.1266101,0.285711681,0.034409,0.0332641,0.366697102
SIGLEC5,0.419777,0.0867301,0.360652884,790,0.434682,0.0817951,0.242763662,1.00E-06,0.5000001,0.5000001
DHFR,0.603261,0.0908271,0.36920967,790,0.581363,0.0999311,0.259075615,0.006306,0.3585501,0.5000001
MYBL1,0.494241,0.0911691,0.36920967,790,0.468665,0.1012101,0.259075615,0.015395,0.2710701,0.5000001
MMP14,0.61855,0.0911491,0.36920967,790,0.78837,0.0459611,0.211435628,1.00E-06,0.5000001,0.5000001
SMAD2,0.493326,0.0928271,0.369794915,790,0.430538,0.1258401,0.285711681,0.033568,0.0611101,0.5000001
IGF2R,0.35964,0.0924591,0.369794915,790,0.351739,0.0972861,0.257057337,0.009795,0.3198301,0.5000001
AP1S1,0.342408,0.0928231,0.369794915,790,0.383319,0.0737651,0.237906208,1.00E-06,0.5000001,0.5000001
FAM89B,0.373407,0.0938191,0.371726488,790,0.314806,0.1271201,0.285711681,0.065286,0.0128471,0.237928292
IL1A,0.43861,0.0958021,0.377542684,790,0.413763,0.1092101,0.264734431,0.017178,0.2144301,0.5000001
SLC25A5,0.577231,0.0980741,0.381629663,790,0.682684,0.0649501,0.233115475,1.00E-06,0.5000001,0.5000001
SLC1A3,0.469167,0.0978721,0.381629663,790,0.503522,0.0841271,0.244973882,1.00E-06,0.5000001,0.5000001
TGFBR1,0.463255,0.0984011,0.381629663,790,0.509162,0.0813571,0.242763662,1.00E-06,0.5000001,0.5000001
SPIB,0.355506,0.1029001,0.383169611,790,0.353433,0.1038901,0.26141911,0.003084,0.4369101,0.5000001
CDK2,0.587158,0.1013501,0.383169611,790,0.347026,0.2258201,0.359294523,0.066641,0.0029969,0.099111764
TAP1,0.61742,0.1018101,0.383169611,790,0.494131,0.1561001,0.309057579,0.023034,0.1034801,0.5000001
ACTL6A,0.464428,0.0996141,0.383169611,790,0.476827,0.0935651,0.256335156,1.00E-06,0.5000001,0.5000001
NOP16,0.377996,0.1029801,0.383169611,790,0.349585,0.1186401,0.278834347,0.019579,0.1768701,0.5000001
MERTK,0.303399,0.0999341,0.383169611,790,0.333595,0.0831071,0.24436173,1.00E-06,0.5000001,0.5000001
CD59,0.616196,0.1028301,0.383169611,790,0.66115,0.0892291,0.251353159,1.00E-06,0.5000001,0.5000001
HERC6,0.561625,0.1007301,0.383169611,790,0.486425,0.1438301,0.30547402,0.017474,0.1262401,0.5000001
